Detachment!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/11;13:27:13:644
Grant!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/11;13:27:44:446
Detachment!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/11;13:31:04:387
TimeOut!!;AM2;ASWMON00124 ;10.230.117.73;XS034943;2022/10/11;13:41:47:091
TimeOut!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/11;13:48:48:737
Grant!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/11;13:51:36:090
Detachment!!;AM2;ASWMON00085 ;10.230.117.158;XS085436;2022/10/11;13:55:07:944
Grant!!;AM2;ASWMON00124 ;10.230.117.73;XS034943;2022/10/11;14:02:32:214
Detachment!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/11;14:07:38:097
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/11;14:15:57:952
TimeOut!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/11;14:33:02:448
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;14:49:32:623
Grant!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/11;15:19:47:838
Detachment!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/11;15:35:52:006
Detachment!!;MD1;ASWMON00104 ;10.230.117.96;XS039267;2022/10/11;16:01:45:464
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;18:25:47:633
Grant!!;FTA;ASWMON00018 ;192.168.130.246;xs052378;2022/10/11;20:02:41:956
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;21:01:55:670
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;21:15:04:125
TimeOut!!;FTA;ASWMON00018 ;192.168.130.246;xs052378;2022/10/12;00:32:37:734
Grant!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/12;00:53:30:484
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/12;05:03:18:424
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/12;05:09:48:386
Grant!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/12;05:13:39:633
Grant!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/12;06:35:46:748
